ID.No,Age.rounded,Age.group,Seal.Lgth,Wght,lgth,Dist.Hgt,Dist.Wdth,Prox.Hgt,Prox.Wdth,Sft.Hgt.Prox,Sft.Hgt.Mid,Shf.Hgt.Dist
2191,1,1,100,0.3,50.7,2.7,1.6,3.2,4.1,3,2.6,2.4
2194,,3,194,4.3,103.6,11.1,3.4,9.2,7.6,8.4,7.2,5.7
2198,,,105,0.6,55.6,4.6,1.7,4.7,6,4.1,3.3,3.2
2203,,,204,12.5,120.6,15.7,5,13.6,9.6,12,9.9,7.9
2238,,,96,0.4,47.3,3.2,1.9,5.1,6.1,3.3,3,2.6
2248,8,3,158,4.8,113.8,10.2,4,11.6,9.9,8.3,6.7,5.2
2252,9,3,172,6.1,116.4,12.6,3.2,10.8,9.1,7.8,7.1,6.1
2253,,,152,4.8,113.6,12,5.1,7.9,5.7,7.6,6.2,5.3
2254,,,146,3.9,88.4,10.2,3.4,11.1,10.4,7.6,6.6,4.9
2256,,,198,11.4,136.1,13.5,7.3,13.6,8.8,11.2,9.4,6.6
2258,8,3,170,7,117.9,14.3,4,9.5,9.2,7.9,7.6,6
2348,,,189,10.1,126,15.9,4.9,15.1,8,9.7,8.3,8.2
2359,,,108,1,65.9,5.1,2.3,6.6,8.3,5.2,4.4,4
2374,,,186,10.9,130,13.3,4.5,11.7,13.2,10.9,9.1,7.6
2379,,,189,11,124.3,13.6,6.6,14.2,13.9,9.5,8.8,7.2
2400,,,176,4.6,110.3,14,4,9.5,9.6,8.1,7.8,6.1
2403,,,88,0.23,44.4,2.5,2.1,3.5,4.5,2.8,2.5,2.1
2404,,,92,0.2,46.1,2.6,2.1,4.2,4.1,3.1,2.3,2.1
2405,1,1,87,0.3,45.7,2.9,1.8,3.8,4.5,2.9,2.9,2.6
2406,,,154,3.2,100.3,10.9,4.2,8.2,6.5,7.6,6.1,5.1
2411,,,155,4.5,100.2,11.5,3.5,8,7.2,7.7,6.4,5.4
2414,,,148,3.1,95,9.2,3.7,10,7.4,6.8,6.4,5.8
2415,,,130,2.2,84.6,6,3.1,10.2,8.8,6.6,5.5,4.5
2454,,,196,8.2,107.6,12.2,4.6,13.8,14.8,9.2,7.9,7.5
2458,,,110,0.9,62.7,4.1,2.5,4.9,5.7,4.6,4.1,3.6
